source,award,year,year_basis,category,status,title,author,illustrator,source_url
batchelder,Batchelder Award,2026,award,English translation,winner,Croco,Azul López,Azul López,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2026,award,English translation,honor,From Memen to Mori,Shinsuke Yoshitake,Shinsuke Yoshitake,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2026,award,English translation,honor,Picking Tea with Baba,Xu Bin,Yu Yin,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2026,award,English translation,honor,Pilgrim Codex,Vivian Mansour,Emmanuel Valtierra,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2026,award,English translation,honor,The Adventures of Cipollino,Gianni Rodari,Dasha Tolstikova,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2025,award,English translation,honor,A Sleepless Night,Micaela Chirif,Joaquín Camp,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2025,award,English translation,honor,Home,Isabelle Simler,Isabelle Simler,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2025,award,English translation,winner,John the Skeleton,Triinu Laan,Marja-Liisa Plats,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2025,award,English translation,honor,"Johnny, the Sea, and Me",Melba Escobar,Elizabeth Builes,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2025,award,English translation,honor,Mr. Lepron’s Mystery Soup,Giovanna Zoboli,Mariachiara Di Giorgio,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2024,award,English translation,winner,"Houses with a Story: A Dragon’s Den, a Ghostly Mansion, a Library of Lost Books, and 30 More Amazing Places to Explore",Seiji Yoshida,Seiji Yoshida,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2024,award,English translation,honor,"Later, When I’m Big",Bette Westera,Mattias De Leeuw,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2024,award,English translation,honor,Pardalita,Joana Estrela,Joana Estrela,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2024,award,English translation,honor,The House of the Lost on the Cape,Sachiko Kashiwaba,Yukiko Saito,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2023,award,English translation,honor,Different: A Story of the Spanish Civil War,Mónica Montañés,Eva Sánchez Gómez,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2023,award,English translation,honor,Dragonfly Eyes,Cao Wenxuan,,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2023,award,English translation,honor,João by a Thread,Roger Mello,Roger Mello,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2023,award,English translation,winner,Just a Girl: A True Story of World War II,Lia Levi,Jess Mason,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2022,award,English translation,honor,"Coffee, Rabbit, Snowdrop, Lost",Betina Birkjær,Anna Margrethe Kjærgaard,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2022,award,English translation,honor,In the Meadow of Fantasies,Hadi Mohammadi,Nooshin Safakhoo,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2022,award,English translation,honor,Sato the Rabbit,Yuki Ainoya,Yuki Ainoya,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2022,award,English translation,winner,Temple Alley Summer,Sachiko Kashiwaba,Miho Satake,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
batchelder,Batchelder Award,2022,award,English translation,honor,The Most Beautiful Story,Brynjulf Jung Tjønn,Øyvind Torseter,https://www.ala.org/sites/default/files/2025-09/batchelder-award-honor-books-to-present.pdf
